Address,Count,Last executed,API Name (if instruction begins it)
773c2a16,1,1,
773c2a18,1,2,
773c2a19,1,3,
773c2a1a,1,4,
773c2a1b,1,5,
773c2a1c,1,6,
7739dd52,1,7,
7739dd55,1,8,
7739dd5c,1,9,
7739dd63,1,10,
7739dd7d,1,11,
7739dd82,1,17,
7739dd84,1,18,
7739dd8a,1,19,
7739dd91,1,20,
7739dd93,1,21,
7739dd99,1,22,
7739dd9c,1,23,
7739dd9e,1,24,
7739dda2,1,25,
7739dda4,1,26,
7739dd68,1,27,
7739dd6b,1,28,
7739dd6e,1,29,
7739dd75,1,30,
7739dd76,1,31,
7739dd77,1,32,
7739dd78,1,33,
7739dd79,1,34,
7739dd7a,1,35,
773a1853,1,36,
773a1856,1,37,
773a1859,1,38,
773a185c,1,39,
773a185f,1,40,
773a18ed,1,41,
773a18f0,1,42,
773a18f5,1,101,
773a1864,1,102,
773a186b,1,103,
773a1871,1,104,
773a1874,1,105,
773a1879,1,106,
773a187d,1,107,
773a187f,1,108,
773a1886,1,109,
773a188a,1,110,
773a1890,1,111,
773a1895,1,112,
773a1898,1,113,
773a189b,1,114,
773a18a0,1,133,
773a18a3,1,134,
773a18a6,1,135,
773a18a9,1,136,
773a1784,1,137,
773a1787,1,138,
773a1789,1,139,
773a18ae,1,140,
773a18b0,1,141,
773a18b2,1,142,
773a18b5,1,143,
773a18b8,1,144,
773a18bb,1,145,
773a18be,1,146,
773a18c1,1,147,
773a18c4,1,148,
773a18cb,1,149,
773a18cc,1,150,
773a18cd,1,151,
773a18ce,1,152,
773a18cf,1,153,
773a18d0,1,154,
773a19c1,1,155,
773a19c3,1,156,
773a19c5,1,157,
773a19c6,1,158,
773a19c7,1,159,
773a19c8,1,160,
773a19ca,1,161,
773a19cb,1,162,
773a2265,1,163,
773a2266,1,164,
773a2268,1,165,
773a2269,1,166,
773a226b,1,167,
773a226c,1,168,
773a273d,1,169,
773a273f,1,170,
773a2740,1,171,
773a2742,1,172,
773a2743,1,173,
773a2744,1,174,
773a2745,1,175,
773a2746,1,176,
773a274b,1,177,
773a274d,1,178,
773a2752,1,204,
773a2755,1,205,
773a2757,1,206,
773a2759,1,207,
773a275b,1,208,
773a2761,1,209,
773a2766,1,215,
773a2768,1,216,
773a276e,1,217,
773a2773,1,218,
773a2775,1,219,
773a277b,1,220,
773a277d,1,221,
773a277e,1,222,
773a277f,1,223,
773a2780,1,224,
773a2781,1,225,
773a2782,1,226,
773a2271,1,227,
773a2272,1,228,
773a2274,1,229,
773a2275,1,230,
773a2276,1,231,
773a2277,1,232,
7.74E+285,1,233,
7.74E+287,1,234,
7.74E+289,1,235,
7.74E+291,1,236,
7739e28b,1,237,
7739e28e,1,238,
773b7db3,1,239,
773b7db5,1,240,
773b7db6,1,241,
773b7db8,1,242,
773b7db9,1,243,
773b7dba,1,244,
773b7dbb,1,245,
773b7dbc,1,246,
773b7dbe,1,247,
773b7dc0,1,248,
773b7dc3,1,249,
773b7dc5,1,250,
773b7dc7,1,251,
773b7df6,1,252,
773b7df7,1,253,
773b7df9,1,254,
773b7dfa,1,255,
773b7dfb,1,256,
773b7dfc,1,257,
7.74E+296,1,258,
7.74E+298,1,259,
7.74E+300,1,260,
7.74E+302,1,261,
7739e2a0,1,262,
1.79769313486232E+308,1,263,
7739e30b,1,264,
773b7e96,1,265,
773b7e98,1,266,
773b7e99,1,267,
773b7e9a,1,268,
773b7e9b,1,269,
773b7ea0,1,270,
773b7ea2,1,271,
773b7ea3,1,272,
773b7ea5,1,273,
773b7eaa,1,292,
773b7ead,1,293,
773b7eb1,1,294,
773b7eb3,1,295,
773b7eb5,1,296,
773b7eb9,1,297,
773b7ebb,1,298,
773b7ebe,1,299,
773b7ec0,1,300,
773b7efd,1,313,
773b7efe,1,314,
773b7f00,1,315,
773b7f02,1,316,
773b7f05,1,317,
773b7efb,1,330,
773b7efc,1,331,
773b7f0a,1,332,
773b7f0c,1,333,
773b7f0e,1,334,
773b7f0f,1,335,
773b7f10,1,336,
773b7ec5,1,337,
773b7ec6,1,338,
773b7ecb,1,357,
773b7ecd,1,358,
773b7ece,1,359,
773b7ecf,1,360,
773b7ed0,1,361,
1.79769313486232E+308,1,362,
7739e2a2,1,363,
7739e2a4,1,364,
7739e2a7,1,365,
7739e2aa,1,366,
773adfb0,1,2721,
773adfb2,1,2722,
773adfb4,1,2723,
773adfb6,1,2724,
773adfb9,1,2725,
773adfbe,1,3838,
773adfc0,1,3839,
7739e2af,1,3846,
7739e2b1,1,3847,
7739e2b3,1,3848,
7739e2ba,1,3849,
7739e2c1,1,3850,
7739e32b,1,3851,
7739e32e,1,3852,
1.79769313486232E+308,1,3853,
1.79769313486232E+308,1,3854,
